	0-000014080
哈哈，是我，还认识吧	001131029-001135033	[["哈哈", ["[ha1 ha1] laughing out loud (onomatopoeia)"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["我", ["[wo3] I / me / my"]], ["还", ["[Huan2] surname Huan", "[hai2] still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else", "[huan2] to pay back / to return"]], ["认识", ["[ren4 shi5] to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition"]], ["吧", ["[ba1] bar (serving drinks, or providing internet access etc) / to puff (on a pipe etc) / onomat. bang", "[ba5] (modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume."]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["哈", ["[Ha1] abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan / abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin", "[ha1] laughter / yawn", "[ha3] a Pekinese / a pug"]], ["认", ["[ren4] to recognize / to know / to admit"]], ["识", ["[shi2] to know / knowledge / Taiwan pr. [shi4]", "[zhi4] to record / to write a footnote"]]]
还认识吗7	001135033-001137336	[["还", ["[Huan2] surname Huan", "[hai2] still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else", "[huan2] to pay back / to return"]], ["认识", ["[ren4 shi5] to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition"]], ["吗", ["[ma3] see 嗎啡|吗啡, morphine", "[ma5] (question tag)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["认", ["[ren4] to recognize / to know / to admit"]], ["识", ["[shi2] to know / knowledge / Taiwan pr. [shi4]", "[zhi4] to record / to write a footnote"]]]
还认识吗7	001137336-001142841	[["还", ["[Huan2] surname Huan", "[hai2] still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else", "[huan2] to pay back / to return"]], ["认识", ["[ren4 shi5] to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition"]], ["吗", ["[ma3] see 嗎啡|吗啡, morphine", "[ma5] (question tag)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["认", ["[ren4] to recognize / to know / to admit"]], ["识", ["[shi2] to know / knowledge / Taiwan pr. [shi4]", "[zhi4] to record / to write a footnote"]]]
1、妹妹载绣．六岁．呐	001142841-001148480	[["妹妹", ["[mei4 mei5] younger sister / fig. younger woman (esp. girl friend or rival) / CL:個|个[ge4]"]], ["载", ["[zai3] year / to record in writing", "[zai4] to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously"]], ["绣", ["[xiu4] to embroider / embroidery"]], ["六", ["[liu4] six / 6"]], ["岁", ["[sui4] classifier for years (of age) / year / year (of crop harvests)"]], ["呐", ["[na4] battle cry", "[na5] sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5])"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
大哥，章大哥你怎么来的7	001148480-001152384	[["大哥", ["[da4 ge1] eldest brother"]], ["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["大哥", ["[da4 ge1] eldest brother"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["怎么", ["[zen3 me5] how? / what? / why?", "[zen3 me5] variant of 怎麼|怎么[zen3 me5]"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["哥", ["[ge1] elder brother"]], ["怎", ["[zen3] how"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
怎么来的7	001152384-001154052	[["怎么", ["[zen3 me5] how? / what? / why?", "[zen3 me5] variant of 怎麼|怎么[zen3 me5]"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["怎", ["[zen3] how"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
可爱的一朵玫瑰花	001154052-001158991	[["可爱", ["[ke3 ai4] adorable / cute / lovely"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["朵", ["[duo3] flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc"]], ["玫瑰花", ["[mei2 gui1 hua1] rose"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["可", ["[ke3] can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very", "[ke4] see 可汗[ke4 han2]"]], ["爱", ["[ai4] to love / affection / to be fond of / to like"]], ["玫", ["[mei2] rose"]], ["瑰", ["[gui1] (semi-precious stone) / extraordinary"]], ["花", ["[Hua1] surname Hua", "[hua1] flower / blossom / CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4] / fancy pattern / florid / to spend (money, time)"]]]
赛过玛瑞妊	001158991-001162261	[["赛", ["[sai4] to compete / competition / match / to surpass / better than / superior to / to excel"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["玛", ["[ma3] agate / cornelian"]], ["瑞", ["[rui4] lucky / auspicious / propitious / rayl (acoustical unit)"]], ["妊", ["[ren4] pregnant / pregnancy"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
可爱的一朵玫瑰花	001162261-001166999	[["可爱", ["[ke3 ai4] adorable / cute / lovely"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["朵", ["[duo3] flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc"]], ["玫瑰花", ["[mei2 gui1 hua1] rose"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["可", ["[ke3] can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very", "[ke4] see 可汗[ke4 han2]"]], ["爱", ["[ai4] to love / affection / to be fond of / to like"]], ["玫", ["[mei2] rose"]], ["瑰", ["[gui1] (semi-precious stone) / extraordinary"]], ["花", ["[Hua1] surname Hua", "[hua1] flower / blossom / CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4] / fancy pattern / florid / to spend (money, time)"]]]
赛过玛瑞妊	001166999-001170102	[["赛", ["[sai4] to compete / competition / match / to surpass / better than / superior to / to excel"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["玛", ["[ma3] agate / cornelian"]], ["瑞", ["[rui4] lucky / auspicious / propitious / rayl (acoustical unit)"]], ["妊", ["[ren4] pregnant / pregnancy"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
那天我在山上打猎骑着马儿	001170102-001176308	[["那天", ["[na4 tian1] that day / the other day"]], ["我", ["[wo3] I / me / my"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["山上", ["[Shan1 shang4] Shanshang township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan"]], ["打猎", ["[da3 lie4] to go hunting"]], ["骑", ["[ji4] (Taiwan) saddle horse / mounted soldier", "[qi2] to ride (an animal or bike) / to sit astride / classifier for saddle-horses"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["马", ["[Ma3] surname Ma / abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]", "[ma3] horse / CL:匹[pi] / horse or cavalry piece in Chinese chess / knight in Western chess"]], ["儿", ["[er2] son", "[r5] non-syllabic diminutive suffix / retroflex final"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["那", ["[na3] variant of 哪[na3]", "[na4] that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing"]], ["天", ["[tian1] day / sky / heaven"]], ["山", ["[Shan1] surname Shan", "[shan1] mountain / hill / anything that resembles a mountain / CL:座[zuo4] / bundled straw in which silkworms spin cocoons / gable"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["打", ["[da2] dozen", "[da3] to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from"]], ["猎", ["[lie4] hunting"]]]
正当你在山下歌唱婉转如云霞	001176308-001183415	[["正当", ["[zheng4 dang1] honest / reasonable / fair / sensible / timely / just (when needed)"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["山", ["[Shan1] surname Shan", "[shan1] mountain / hill / anything that resembles a mountain / CL:座[zuo4] / bundled straw in which silkworms spin cocoons / gable"]], ["下", ["[xia4] down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc)"]], ["歌唱", ["[ge1 chang4] to sing"]], ["婉转", ["[wan3 zhuan3] sweet and agreeable / mild and indirect / tactful"]], ["如", ["[ru2] as / as if / such as"]], ["云", ["[yun2] (classical) to say", "[Yun2] surname Yun / abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 sheng3]", "[yun2] cloud / CL:朵[duo3]"]], ["霞", ["[xia2] red clouds"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["正", ["[zheng1] first month of the lunar year", "[zheng4] just (right) / main / upright / straight / correct / positive / greater than zero / principle"]], ["当", ["[dang1] to be / to act as / manage / withstand / when / during / ought / should / match equally / equal / same / obstruct / just at (a time or place) / on the spot / right / just at", "[dang4] at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student)"]], ["歌", ["[ge1] song / CL:支[zhi1],首[shou3] / to sing"]], ["唱", ["[chang4] to sing / to call loudly / to chant"]], ["婉", ["[wan3] graceful / tactful"]], ["转", ["[zhuan3] to convey / to forward (mail) / to transfer / to turn / to shift", "[zhuan4] to revolve / to turn / to circle about / to walk about / classifier for turns: revs / classifier for repeated actions"]]]
歌声使我迷了路	001183415-001186385	[["歌声", ["[ge1 sheng1] singing voice / fig. original voice of a poet"]], ["使", ["[shi3] to make / to cause / to enable / to use / to employ / to send / to instruct sb to do sth / envoy / messenger"]], ["我", ["[wo3] I / me / my"]], ["迷", ["[mi2] to bewilder / crazy about / fan / enthusiast / lost / confused"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["路", ["[Lu4] surname Lu", "[lu4] road / CL:條|条[tiao2] / journey / route / line (bus etc) / sort / kind"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["歌", ["[ge1] song / CL:支[zhi1],首[shou3] / to sing"]], ["声", ["[sheng1] sound / voice / tone / noise / classifier for sounds"]]]
我从山坡滚下	001186385-001190756	[["我", ["[wo3] I / me / my"]], ["从", ["[Cong2] surname Cong", "[cong1] lax / yielding / unhurried", "[cong2] from / via / passing through / through (a gap) / past / ever (followed by negative, meaning never) / (formerly pr. [zong4] and related to 縱|纵) to follow / to comply with / to obey / to join / to engage in / adopting some mode of action or attitude / follower / retainer / accessory / accomplice / related by common paternal grandfather or earlier ancestor", "[zong4] second cousin"]], ["山坡", ["[shan1 po1] hillside"]], ["滚", ["[gun3] to boil / to roll / to take a hike / Get lost!"]], ["下", ["[xia4] down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["山", ["[Shan1] surname Shan", "[shan1] mountain / hill / anything that resembles a mountain / CL:座[zuo4] / bundled straw in which silkworms spin cocoons / gable"]], ["坡", ["[po1] slope / CL:個|个[ge4] / sloping / slanted"]]]
哎呀呀，你的歌声婉转如云霞	001190756-001198697	[["哎呀", ["[ai1 ya1] interjection of wonder, shock or admiration"]], ["呀", ["[ya5] (particle equivalent to 啊 after a vowel, expressing surprise or doubt)"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["歌声", ["[ge1 sheng1] singing voice / fig. original voice of a poet"]], ["婉转", ["[wan3 zhuan3] sweet and agreeable / mild and indirect / tactful"]], ["如", ["[ru2] as / as if / such as"]], ["云", ["[yun2] (classical) to say", "[Yun2] surname Yun / abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 sheng3]", "[yun2] cloud / CL:朵[duo3]"]], ["霞", ["[xia2] red clouds"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["哎", ["[ai1] hey! / (interjection used to attract attention or to express surprise or disapprobation)"]], ["歌", ["[ge1] song / CL:支[zhi1],首[shou3] / to sing"]], ["声", ["[sheng1] sound / voice / tone / noise / classifier for sounds"]], ["婉", ["[wan3] graceful / tactful"]], ["转", ["[zhuan3] to convey / to forward (mail) / to transfer / to turn / to shift", "[zhuan4] to revolve / to turn / to circle about / to walk about / classifier for turns: revs / classifier for repeated actions"]]]
强壮的青年哈萨支	001198697-001203735	[["强壮", ["[qiang2 zhuang4] strong / sturdy / robust"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["青年", ["[qing1 nian2] youth / youthful years / young person / the young"]], ["哈", ["[Ha1] abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan / abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin", "[ha1] laughter / yawn", "[ha3] a Pekinese / a pug"]], ["萨", ["[Sa4] Bodhisattva / surname Sa"]], ["支", ["[Zhi1] surname Zhi", "[zhi1] to support / to sustain / to erect / to raise / branch / division / to draw money / classifier for rods such as pens and guns, for army divisions and for songs or compositions"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["强", ["[Qiang2] surname Qiang", "[jiang4] stubborn / unyielding", "[qiang2] strong / powerful / better / slightly more than / vigorous / violent / best in their category, e.g. see 百強|百强[bai3 qiang2]", "[qiang3] to force / to compel / to strive / to make an effort"]], ["壮", ["[Zhuang4] Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group / Zhuang: Bouxcuengh", "[zhuang4] to strengthen / strong / robust"]], ["青", ["[qing1] nature's color / green or blue / greenish black / youth / young (of people) / abbr. for Qinghai province 青海"]], ["年", ["[Nian2] surname Nian", "[nian2] year / CL:個|个[ge4]"]]]
伊万都达	001203735-001207172	[["伊", ["[Yi1] surname Yi / abbr. for 伊拉克[Yi1 la1 ke4], Iraq / abbr. for 伊朗[Yi1 lang3], Iran", "[yi1] he / she"]], ["万", ["[Mo4] see 万俟[Mo4 qi2]", "[Wan4] surname Wan", "[wan4] ten thousand / a great number"]], ["都", ["[Du1] surname Du", "[dou1] all / both / entirely / (used for emphasis) even / already / (not) at all", "[du1] capital city / metropolis"]], ["达", ["[Da2] surname Da", "[da2] to attain / to reach / to amount to / to communicate / eminent"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
强壮的青年哈萨支	001207172-001211944	[["强壮", ["[qiang2 zhuang4] strong / sturdy / robust"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["青年", ["[qing1 nian2] youth / youthful years / young person / the young"]], ["哈", ["[Ha1] abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan / abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin", "[ha1] laughter / yawn", "[ha3] a Pekinese / a pug"]], ["萨", ["[Sa4] Bodhisattva / surname Sa"]], ["支", ["[Zhi1] surname Zhi", "[zhi1] to support / to sustain / to erect / to raise / branch / division / to draw money / classifier for rods such as pens and guns, for army divisions and for songs or compositions"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["强", ["[Qiang2] surname Qiang", "[jiang4] stubborn / unyielding", "[qiang2] strong / powerful / better / slightly more than / vigorous / violent / best in their category, e.g. see 百強|百强[bai3 qiang2]", "[qiang3] to force / to compel / to strive / to make an effort"]], ["壮", ["[Zhuang4] Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group / Zhuang: Bouxcuengh", "[zhuang4] to strengthen / strong / robust"]], ["青", ["[qing1] nature's color / green or blue / greenish black / youth / young (of people) / abbr. for Qinghai province 青海"]], ["年", ["[Nian2] surname Nian", "[nian2] year / CL:個|个[ge4]"]]]
伊万都达	001211944-001215948	[["伊", ["[Yi1] surname Yi / abbr. for 伊拉克[Yi1 la1 ke4], Iraq / abbr. for 伊朗[Yi1 lang3], Iran", "[yi1] he / she"]], ["万", ["[Mo4] see 万俟[Mo4 qi2]", "[Wan4] surname Wan", "[wan4] ten thousand / a great number"]], ["都", ["[Du1] surname Du", "[dou1] all / both / entirely / (used for emphasis) even / already / (not) at all", "[du1] capital city / metropolis"]], ["达", ["[Da2] surname Da", "[da2] to attain / to reach / to amount to / to communicate / eminent"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
今天晚上请你过河到我家	001215948-001221353	[["今天", ["[jin1 tian1] today / at the present / now"]], ["晚上", ["[wan3 shang5] evening / night / CL:個|个[ge4] / in the evening"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["河", ["[he2] river / CL:條|条[tiao2],道[dao4]"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["我", ["[wo3] I / me / my"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["今", ["[jin1] today / modern / present / current / this / now"]], ["天", ["[tian1] day / sky / heaven"]], ["晚", ["[wan3] evening / night / late"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]]]
怀抱你的马儿带着你的冬不拉	001221353-001227993	[["怀抱", ["[huai2 bao4] to hug / to cherish / within the bosom (of the family) / to embrace (also fig. an ideal, aspiration etc)"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["马", ["[Ma3] surname Ma / abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]", "[ma3] horse / CL:匹[pi] / horse or cavalry piece in Chinese chess / knight in Western chess"]], ["儿", ["[er2] son", "[r5] non-syllabic diminutive suffix / retroflex final"]], ["带", ["[dai4] band / belt / girdle / ribbon / tire / area / zone / region / CL:條|条[tiao2] / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["冬不拉", ["[dong1 bu4 la1] Dombra or Tambura, Kazakh plucked lute"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["怀", ["[Huai2] surname Huai", "[huai2] bosom / heart / mind / to think of / to harbor in one's mind / to conceive (a child)"]], ["抱", ["[bao4] to hold / to carry (in one's arms) / to hug or embrace / surround / cherish"]], ["冬", ["[dong1] winter", "[Dong1] surname Dong", "[dong1] sound of beating a drum / onomatopoeia for rat-a-tat etc"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["拉", ["[la1] to pull / to play (a bowed instrument) / to drag / to draw / to chat"]]]
等到月儿升上来	001227993-001231129	[["等到", ["[deng3 dao4] to wait until / by the time when (sth is ready etc)"]], ["月", ["[yue4] moon / month / CL:個|个[ge4],輪|轮[lun2]"]], ["儿", ["[er2] son", "[r5] non-syllabic diminutive suffix / retroflex final"]], ["升", ["[sheng1] to raise / to hoist / to promote / metric liter (also written 公升) / measure for dry grain equal to one-tenth dou 斗", "[sheng1] ascend / peaceful", "[sheng1] variant of 升[sheng1]"]], ["上来", ["[shang4 lai2] to come up / to approach / (verb complement indicating success)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["等", ["[deng3] class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]]]
拨动你的琴玄	001231129-001235734	[["拨动", ["[bo1 dong4] to stir / to prod / to poke / to move sideways / to strum (on a guitar etc)"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["琴", ["[qin2] guqin or zither, cf 古琴 / musical instrument in general"]], ["玄", ["[xuan2] black / mysterious"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["拨", ["[bo1] to push aside with the hand, foot, a stick etc / to dial / to allocate / to set aside (money) / to poke (the fire) / to pluck (a string instrument) / to turn round / classifier: group, batch"]], ["动", ["[dong4] to use / to act / to move / to change / abbr. for 動詞|动词[dong4 ci2], verb"]]]
爱人呀	001235734-001238003	[["爱人", ["[ai4 ren5] spouse / husband / wife / sweetheart / CL:個|个[ge4]"]], ["呀", ["[ya5] (particle equivalent to 啊 after a vowel, expressing surprise or doubt)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["爱", ["[ai4] to love / affection / to be fond of / to like"]], ["人", ["[ren2] man / person / people / CL:個|个[ge4],位[wei4]"]]]
我俩相依歌唱在树下	001238003-001243175	[["我", ["[wo3] I / me / my"]], ["俩", ["[lia3] two (colloquial equivalent of 兩個|两个) / both / some"]], ["相依", ["[xiang1 yi1] to be interdependent"]], ["歌唱", ["[ge1 chang4] to sing"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["树", ["[shu4] tree / CL:棵[ke1] / to cultivate / to set up"]], ["下", ["[xia4] down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["相", ["[Xiang1] surname Xiang", "[xiang1] each other / one another / mutually", "[xiang4] appearance / portrait / picture"]], ["依", ["[yi1] to depend on / to comply with or listen to sb / according to / in the light of"]], ["歌", ["[ge1] song / CL:支[zhi1],首[shou3] / to sing"]], ["唱", ["[chang4] to sing / to call loudly / to chant"]]]
好好	001243175-001245143	[["好好", ["[hao3 hao3] well / carefully / nicely / properly"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["好", ["[hao3] good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)", "[hao4] to be fond of / to have a tendency to / to be prone to"]]]
章大哥我唱完了你得给我讲故事	001245143-001247546	[["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["大哥", ["[da4 ge1] eldest brother"]], ["我", ["[wo3] I / me / my"]], ["唱", ["[chang4] to sing / to call loudly / to chant"]], ["完", ["[wan2] to finish / to be over / whole / complete / entire"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["得", ["[de2] to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished", "[de5] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc", "[dei3] to have to / must / ought to / to need to"]], ["给", ["[gei3] to / for / for the benefit of / to give / to allow / to do sth (for sb) / (passive particle)", "[ji3] to supply / to provide"]], ["我", ["[wo3] I / me / my"]], ["讲", ["[jiang3] to speak / to explain / to negotiate / to emphasise / to be particular about / as far as sth is concerned / speech / lecture"]], ["故事", ["[gu4 shi4] old practice / CL:個|个[ge4]", "[gu4 shi5] narrative / story / tale"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["哥", ["[ge1] elder brother"]], ["故", ["[gu4] happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead"]], ["事", ["[shi4] matter / thing / item / work / affair / CL:件[jian4],樁|桩[zhuang1]"]]]
