Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Wo bist du?	Wo bist du?	Wo bist du?	Where are you?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wo</td><td></td><td>where</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>du?</td><td></td><td>you ?</td></tr></table>	[sound:lola-000602961-000604301.mp4]
In einer Zelle... in der Innenstadt. Und bei der Spirale.	In ___ ___ in der Innenstadt. Und ___ der Spirale.	In <span class="learn">einer</span> <span class="learn">Zelle...</span> in der Innenstadt. Und <span class="learn">bei</span> der Spirale.	In a cell ... in the inner city . And in the spiral.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>In</td><td></td><td>in</td></tr><tr><td>einer</td><td>any [one of many] // a {indefinite article} [feminine indirect object] // of an [feminine genitive / dative object] // of a [feminine] // to one </td><td>one</td></tr><tr><td>Zelle...</td><td></td><td>Cell ...</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>Innenstadt.</td><td>inner-city </td><td>Downtown .</td></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>bei</td><td>at // care of <c/o> // in // in the case of // next to // on // upon // with </td><td>with</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>Spirale.</td><td></td><td>Spiral.</td></tr></table>	[sound:lola-000604851-000608811.mp4]
Alles klar. Bleib wo du bist. Mir fällt was ein. Ich schwör's.	___ ___ ___ wo du bist. Mir ___ was ein. Ich schwör's.	<span class="learn">Alles</span> <span class="learn">klar.</span> <span class="learn">Bleib</span> wo du bist. Mir <span class="learn">fällt</span> was ein. Ich schwör's.	All clear. Stay where you are . I can not think what . I swear.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Alles</td><td></td><td>Everything</td></tr><tr><td>klar.</td><td></td><td>clear.</td></tr><tr><td>Bleib</td><td></td><td>Stay</td></tr><tr><td>wo</td><td>where [interrogative] </td><td>where</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>bist.</td><td></td><td>are.</td></tr><tr><td>Mir</td><td></td><td>me</td></tr><tr><td>fällt</td><td></td><td>falls</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>ein.</td><td>mono // any [one of many] // an [feminine subject / direct object] // one // one </td><td>a .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>schwör's.</td><td></td><td>swear.</td></tr></table>	[sound:lola-000609531-000612361.mp4]
In zwanzig Minuten, okay?	In ___ ___ ___	In <span class="learn">zwanzig</span> <span class="learn">Minuten,</span> <span class="learn">okay?</span>	In twenty minutes , okay ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>In</td><td></td><td>in</td></tr><tr><td>zwanzig</td><td>a score [twenty] // twenty </td><td>twenty</td></tr><tr><td>Minuten,</td><td></td><td>minutes</td></tr><tr><td>okay?</td><td></td><td>okay?</td></tr></table>	[sound:lola-000612432-000614122.mp4]
Ich geh jetzt rüber zu Bolle und dann hol ich mir die Hunderttausend.	Ich geh jetzt ___ zu Bolle und dann ___ ich mir die ___	Ich geh jetzt <span class="learn">rüber</span> zu Bolle und dann <span class="learn">hol</span> ich mir die <span class="learn">Hunderttausend.</span>	Im going over to Bolle and then Ill get the hundreds of thousands.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>geh</td><td></td><td>go</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>rüber</td><td></td><td>over</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>Bolle</td><td></td><td>Bolle</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>hol</td><td></td><td>hol</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>mir</td><td>me [indirect object] // to me // us [coll.] [me] </td><td>me</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>Hunderttausend.</td><td></td><td>Hundred thousand .</td></tr></table>	[sound:lola-000616102-000618732.mp4]
- Hör auf damit - Wieso? Ronnie hat g'sagt, die machen...	-  ___ auf damit -  ___ ___ ___ g'sagt, die ___	- <span class="learn">Hör</span> auf damit - <span class="learn">Wieso?</span> <span class="learn">Ronnie</span> <span class="learn">hat</span> g'sagt, die <span class="learn">machen...</span>	Stop it  Why ? Ronnie gsagt that make ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Hör</td><td></td><td>Listen</td></tr><tr><td>auf</td><td>at // in // on top of // onto // to // up // upon </td><td>onto</td></tr><tr><td>damit</td><td>for this reason // hence // in order that // so that  [in order that] // so  [in order that] // therewith // with it // with that said </td><td>so that</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Wieso?</td><td>How come? [coll.] // How so? </td><td>Why ?</td></tr><tr><td>Ronnie</td><td></td><td>Ronnie</td></tr><tr><td>hat</td><td>hath [archaic] // haveth [archaic] </td><td>has</td></tr><tr><td>g'sagt,</td><td></td><td>gsagt ,</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>machen...</td><td>to constitute </td><td>make ...</td></tr></table>	[sound:lola-000618803-000621473.mp4]
...Zweihunderttausend am Tag. Jetzt ist Mittag, da muss doch die Hälfte da sein.	...Zweihunderttausend am ___ Jetzt ist Mittag, da ___ doch die Hälfte da ___	...Zweihunderttausend am <span class="learn">Tag.</span> Jetzt ist Mittag, da <span class="learn">muss</span> doch die Hälfte da <span class="learn">sein.</span>	Two hundred thousand ... a day. Now is noon, but since half has to be there .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>...Zweihunderttausend</td><td></td><td>Two hundred thousand ...</td></tr><tr><td>am</td><td></td><td>on</td></tr><tr><td>Tag.</td><td></td><td>Day.</td></tr><tr><td>Jetzt</td><td></td><td>now</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>Mittag,</td><td></td><td>noon,</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>muss</td><td></td><td>must</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>Hälfte</td><td></td><td>half</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>sein.</td><td></td><td>be .</td></tr></table>	[sound:lola-000621473-000624203.mp4]
Du spinnst, du bleibst in der verdammten Zelle. Und ich komm jetzt.	Du spinnst, du bleibst in der verdammten ___ Und ich komm jetzt.	Du spinnst, du bleibst in der verdammten <span class="learn">Zelle.</span> Und ich komm jetzt.	Youre crazy , you stay in the damn cell. And I come now .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>spinnst,</td><td></td><td>crazy ,</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>bleibst</td><td></td><td>stay</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>verdammten</td><td></td><td>damn</td></tr><tr><td>Zelle.</td><td></td><td>Cell.</td></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>komm</td><td></td><td>come</td></tr><tr><td>jetzt.</td><td></td><td>right now.</td></tr></table>	[sound:lola-000624273-000628213.mp4]
Ich mach 'nen Überfall, was sonst.	Ich mach ___ Überfall, was ___	Ich mach <span class="learn">'nen</span> Überfall, was <span class="learn">sonst.</span>	I Carry tion attack , what else?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>mach</td><td></td><td>do</td></tr><tr><td>'nen</td><td></td><td>nen</td></tr><tr><td>Überfall,</td><td></td><td>Robbery ,</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>sonst.</td><td></td><td>else</td></tr></table>	[sound:lola-000628284-000630014.mp4]
Hast du 'nen Knall. Du machst gar nichts. Und ich komm jetzt.	___ du ___ ___ Du ___ ___ ___ Und ich komm jetzt.	<span class="learn">Hast</span> du <span class="learn">'nen</span> <span class="learn">Knall.</span> Du <span class="learn">machst</span> <span class="learn">gar</span> <span class="learn">nichts.</span> Und ich komm jetzt.	Have you nen bang. Youre doing nothing. And I come now .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Hast</td><td></td><td>Have</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>'nen</td><td></td><td>nen</td></tr><tr><td>Knall.</td><td></td><td>Bang.</td></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>machst</td><td></td><td>do</td></tr><tr><td>gar</td><td>cooked // done  [fully cooked] </td><td>even</td></tr><tr><td>nichts.</td><td></td><td>nothing .</td></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>komm</td><td></td><td>come</td></tr><tr><td>jetzt.</td><td></td><td>right now.</td></tr></table>	[sound:lola-000630014-000634784.mp4]
- Und dann? - Dann helf ich dir, mir fällt was ein!	-  Und dann? -  Dann ___ ich ___ mir ___ was ein!	- Und dann? - Dann <span class="learn">helf</span> ich <span class="learn">dir,</span> mir <span class="learn">fällt</span> was ein!	And then ?  Then Ill help you , I can think of something!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann?</td><td></td><td>then ?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>helf</td><td></td><td>helf</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>dir,</td><td></td><td>you,</td></tr><tr><td>mir</td><td>me [indirect object] // to me // us [coll.] [me] </td><td>me</td></tr><tr><td>fällt</td><td></td><td>falls</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>ein!</td><td></td><td>a !</td></tr></table>	[sound:lola-000634785-000637135.mp4]
Lola, in zwanzig Minuten bin ich entweder tot oder ich geh jetzt da rein und hol mir das Geld	Lola, in ___ ___ ___ ich entweder ___ ___ ich geh jetzt da ___ und ___ mir das ___	Lola, in <span class="learn">zwanzig</span> <span class="learn">Minuten</span> <span class="learn">bin</span> ich entweder <span class="learn">tot</span> <span class="learn">oder</span> ich geh jetzt da <span class="learn">rein</span> und <span class="learn">hol</span> mir das <span class="learn">Geld</span>	Lola , in twenty minutes, I am either dead or I m going in there and get me the money	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Lola,</td><td></td><td>Lola</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>zwanzig</td><td>a score [twenty] // twenty </td><td>twenty</td></tr><tr><td>Minuten</td><td></td><td>minutes</td></tr><tr><td>bin</td><td></td><td>am</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>entweder</td><td>either </td><td>either</td></tr><tr><td>tot</td><td>dead // deceased // defunct // gone // inactive // inanimate // lifeless [inanimate] // out of service </td><td>dead</td></tr><tr><td>oder</td><td></td><td>or</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>geh</td><td></td><td>go</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>rein</td><td>chastely // immaculately // kosher // pure // purely // sheerly // specklessly // uncorrupt </td><td>purely</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>hol</td><td></td><td>hol</td></tr><tr><td>mir</td><td>me [indirect object] // to me // us [coll.] [me] </td><td>me</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>Geld</td><td></td><td>money</td></tr></table>	[sound:lola-000637215-000640375.mp4]
- Nein, warte!!! - Warum denn?	-  ___ ___ -  ___ denn?	- <span class="learn">Nein,</span> <span class="learn">warte!!!</span> - <span class="learn">Warum</span> denn?	No, wait !  Why?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Nein,</td><td></td><td>No,</td></tr><tr><td>warte!!!</td><td></td><td>wait !</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Warum</td><td></td><td>Why</td></tr><tr><td>denn?</td><td></td><td>because ?</td></tr></table>	[sound:lola-000640456-000642416.mp4]
Weil ich es will. Ich helf dir, ich krieg das Geld.	___ ich es ___ Ich ___ ___ ich ___ das ___	<span class="learn">Weil</span> ich es <span class="learn">will.</span> Ich <span class="learn">helf</span> <span class="learn">dir,</span> ich <span class="learn">krieg</span> das <span class="learn">Geld.</span>	Because I want to. Ill help you , Ill get the money.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Weil</td><td></td><td>because</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>will.</td><td></td><td>wants.</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>helf</td><td></td><td>helf</td></tr><tr><td>dir,</td><td></td><td>you,</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>krieg</td><td></td><td>war</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>Geld.</td><td>monetary // moneyed // pecuniary </td><td>Money.</td></tr></table>	[sound:lola-000642486-000645286.mp4]
Um zwölf geh ich da rein. Länger warte ich nicht.	Um zwölf geh ich da ___ Länger ___ ich nicht.	Um zwölf geh ich da <span class="learn">rein.</span> Länger <span class="learn">warte</span> ich nicht.	At twelve I go in there. I did not wait longer .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Um</td><td></td><td>to</td></tr><tr><td>zwölf</td><td>twelve </td><td>twelve</td></tr><tr><td>geh</td><td></td><td>go</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>rein.</td><td></td><td>pure.</td></tr><tr><td>Länger</td><td></td><td>more</td></tr><tr><td>warte</td><td></td><td>wait</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-000648427-000650487.mp4]
Okay! Wer?	___ ___	<span class="learn">Okay!</span> <span class="learn">Wer?</span>	Okay ! Who?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Okay!</td><td></td><td>Okay !</td></tr><tr><td>Wer?</td><td></td><td>Who?</td></tr></table>	[sound:lola-000677651-000679811.mp4]
Papa!	___	<span class="learn">Papa!</span>	Dad!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Papa!</td><td></td><td>Dad!</td></tr></table>	[sound:lola-000717856-000719146.mp4]
Lola, gehst du einkaufen? Ich brauch Shampoo.	Lola, ___ du ___ Ich ___ ___	Lola, <span class="learn">gehst</span> du <span class="learn">einkaufen?</span> Ich <span class="learn">brauch</span> <span class="learn">Shampoo.</span>	Lola , you go shopping ? I need shampoo.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Lola,</td><td></td><td>Lola</td></tr><tr><td>gehst</td><td></td><td>go</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>einkaufen?</td><td></td><td>shopping?</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>brauch</td><td></td><td>custom</td></tr><tr><td>Shampoo.</td><td></td><td>Shampoo.</td></tr></table>	[sound:lola-000727087-000730147.mp4]
Natürlich! Ich hab gewusst, dass du 'nen Schütze-Aszendent hast.	___ Ich hab ___ ___ du ___ Schütze-Aszendent ___	<span class="learn">Natürlich!</span> Ich hab <span class="learn">gewusst,</span> <span class="learn">dass</span> du <span class="learn">'nen</span> Schütze-Aszendent <span class="learn">hast.</span>	Of course ! I know that you have nen Sagittarius Ascendant .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Natürlich!</td><td>Hell yeah! [sl.] // Yes, squire! [Br.] </td><td>Of course !</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>gewusst,</td><td></td><td>known</td></tr><tr><td>dass</td><td>lest [formal] [example: I was frightened lest he should fall.] // that </td><td>that</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>'nen</td><td></td><td>nen</td></tr><tr><td>Schütze-Aszendent</td><td></td><td>Sagittarius Ascendant</td></tr><tr><td>hast.</td><td></td><td>have .</td></tr></table>	[sound:lola-000732728-000735958.mp4]
Doch! Warum ich darüber nachdenk? Weiss ich nicht.	Doch! ___ ich ___ ___ ___ ich nicht.	Doch! <span class="learn">Warum</span> ich <span class="learn">darüber</span> <span class="learn">nachdenk?</span> <span class="learn">Weiss</span> ich nicht.	But ! Why I thoughtfully about it? I do not know.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Doch!</td><td>Sot! [Scot.] [on the contrary] // Yes, (I do / did / have / had / am / was / will / would / shall / should / can / could / may / might!) [contradicting a negative question] </td><td>But !</td></tr><tr><td>Warum</td><td></td><td>Why</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>darüber</td><td>about it / that // overhead // over it // thereover </td><td>above</td></tr><tr><td>nachdenk?</td><td></td><td>thoughtfully ?</td></tr><tr><td>Weiss</td><td></td><td>White</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-000736028-000740328.mp4]
Na und, du bist doch auch verheiratet!	Na und, du bist doch auch ___	Na und, du bist doch auch <span class="learn">verheiratet!</span>	So what, you re married too !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>und,</td><td></td><td>and</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>verheiratet!</td><td></td><td>married!</td></tr></table>	[sound:lola-000742309-000745069.mp4]
Mach doch Die Augen auf!	Mach doch Die Augen auf!	Mach doch Die Augen auf!	Do something for the eyes!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mach</td><td></td><td>Do</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>Augen</td><td></td><td>eye</td></tr><tr><td>auf!</td><td></td><td>on !</td></tr></table>	[sound:lola-000799647-000802817.mp4]
Schlampe.	Schlampe.	Schlampe.	Bitch .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Schlampe.</td><td></td><td>Bitch .</td></tr></table>	[sound:lola-000805858-000807588.mp4]
Nachts ist's am Schlimmsten.	Nachts ist's am Schlimmsten.	Nachts ist's am Schlimmsten.	At night it is the worst .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Nachts</td><td></td><td>at night</td></tr><tr><td>ist's</td><td></td><td>is it</td></tr><tr><td>am</td><td></td><td>on</td></tr><tr><td>Schlimmsten.</td><td></td><td>Worst .</td></tr></table>	[sound:lola-000873107-000876007.mp4]
Da wach ich auf und kann nicht schlafen.	Da wach ich auf und ___ nicht schlafen.	Da wach ich auf und <span class="learn">kann</span> nicht schlafen.	Then I wake up and can not sleep .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Da</td><td></td><td>since</td></tr><tr><td>wach</td><td>alert // alertly // awake </td><td>awake</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>auf</td><td>at // in // on top of // onto // to // up // upon </td><td>onto</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>kann</td><td></td><td>can</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>schlafen.</td><td>asleep [pred.] // dormant // latent // napping // nodding // sleeping </td><td> sleeping</td></tr></table>	[sound:lola-000876077-000878907.mp4]
Und dann hab ich Angst.	Und dann hab ich ___	Und dann hab ich <span class="learn">Angst.</span>	And then I got scared.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>Angst.</td><td></td><td>Anxiety.</td></tr></table>	[sound:lola-000878978-000881808.mp4]
Angst vorm Dunkeln, ich!	___ vorm Dunkeln, ich!	<span class="learn">Angst</span> vorm Dunkeln, ich!	Fear of the dark, I !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Angst</td><td>The Fear Index [Robert Harris] </td><td>anxiety</td></tr><tr><td>vorm</td><td></td><td>front</td></tr><tr><td>Dunkeln,</td><td></td><td>dark</td></tr><tr><td>ich!</td><td></td><td>I do!</td></tr></table>	[sound:lola-000881878-000883938.mp4]
Ich hab noch nie Angst vorm Dunkeln gehabt. Ich hab überhaupt nie Angst gehabt.	Ich hab ___ ___ ___ vorm Dunkeln gehabt. Ich hab ___ ___ ___ gehabt.	Ich hab <span class="learn">noch</span> <span class="learn">nie</span> <span class="learn">Angst</span> vorm Dunkeln gehabt. Ich hab <span class="learn">überhaupt</span> <span class="learn">nie</span> <span class="learn">Angst</span> gehabt.	Ive never been afraid of the dark. I ve never been afraid at all .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>noch</td><td>as yet // nor // still // yet [still] </td><td>more</td></tr><tr><td>nie</td><td>at no time // nary  [Am.] // never </td><td>never</td></tr><tr><td>Angst</td><td>The Fear Index [Robert Harris] </td><td>anxiety</td></tr><tr><td>vorm</td><td></td><td>front</td></tr><tr><td>Dunkeln</td><td></td><td>dark</td></tr><tr><td>gehabt.</td><td></td><td>had.</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>überhaupt</td><td>absolutely // after all // altogether // anyway // at all [in negative contexts] // even  [used as intensive to indicate something unexpected] // ever // generally </td><td>at all</td></tr><tr><td>nie</td><td>at no time // nary  [Am.] // never </td><td>never</td></tr><tr><td>Angst</td><td>The Fear Index [Robert Harris] </td><td>anxiety</td></tr><tr><td>gehabt.</td><td></td><td>had.</td></tr></table>	[sound:lola-000885018-000888478.mp4]
Aber ich denk dann an uns.	___ ich ___ dann an ___	<span class="learn">Aber</span> ich <span class="learn">denk</span> dann an <span class="learn">uns.</span>	But then I think to us.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>denk</td><td></td><td>thinking</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>an</td><td>at // by // in // on // to // upon </td><td>to</td></tr><tr><td>uns.</td><td></td><td>to us .</td></tr></table>	[sound:lola-000890889-000892819.mp4]
